,Kaub,Duisburg-Ruhrort,Emmerich,Erlecom,Nijmegen,Ophemert,St. Andries,Zaltbommel,Nijmegen (fixed layer)
500.0,0.6974616233504232,1.4332740856991895,1.4102180191504394,0.6123355654982017,0.5636437798527858,1.1430107925562505,1.7857214355447346,2.194851425139332,1.4483799314583328
515.1515151515151,0.7493716294845949,1.4759972380343278,1.4538656173225935,0.6785404606716365,0.625354845018145,1.1851933504088101,1.813398034514801,2.211262935739579,1.5100696467702637
530.3030303030303,0.7999019468808359,1.5181992026900297,1.496915443094696,0.7433675363192085,0.6860581542127582,1.2269360049881577,1.8409408909174196,2.2277784631258783,1.5707525400555564
545.4545454545455,0.8491271328435157,1.5599009645077726,1.53939242163979,0.8068850774642511,0.7457982696283407,1.2682571332762076,1.8683567198056634,2.2443956658897464,1.63047312459992
560.6060606060606,0.8971157803316838,1.6011221069039028,1.5813197792959803,0.8691561730615953,0.8046166084177364,1.3091738682045702,1.8956517580085053,2.2611123191265956,1.6892727724051797
575.7575757575758,0.9439311416577343,1.6418809406337718,1.622719201899356,0.9302392410581974,0.8625517431203513,1.3497022138516899,1.9228318095325738,2.2779263056355497,1.747190014236197
590.9090909090909,0.9896316724337726,1.6821946176618656,1.6636109746017866,0.990188488012026,0.9196396662856596,1.389857147244805,1.9499022856037231,2.2948356079989085,1.8042608039127437
606.060606060606,1.0342715077276654,1.7220792321969718,1.7040141057558658,1.0490543128883958,0.9759140243649247,1.4296527086258433,1.9768682401001012,2.311838301432954,1.8605187519096367
621.2121212121212,1.077900880345111,1.7615499106225991,1.7439464370338245,1.1068836630349395,1.0314063251151224,1.4691020817425042,2.0037344010070663,2.3289325473175007,1.9159953325034182
636.3636363636364,1.1205664894991603,1.80062089178324,1.7834247416071158,1.1637203490230685,1.0861461220842337,1.5082176654817903,2.0305051984250104,2.3461165873247167,1.9707200680299808
651.5151515151515,1.1623118267822885,1.839305598864898,1.8224648119334166,1.21960532397222,1.140161179193047,1.5470111379621863,2.0571847895794537,2.3633887380787155,2.0247206932642703
666.6666666666667,1.2031774652552858,1.8776167039242417,1.8610815384662338,1.2745769320939366,1.193477617971375,1.5854935140343247,2.0837770812152536,2.380747386286667,2.0780233024765726
681.8181818181818,1.2432013165624862,1.9155661859676263,1.899288980409886,1.328671130468163,1.2461200496274492,1.6236751970015553,2.1102857497006617,2.3981909842899984,2.130652481341291
696.969696969697,1.282418860235533,1.9531653833532423,1.9371004294819714,1.3819216874638662,1.2981116938135422,1.6615660252562459,2.1367142591201773,2.4157180459908707,2.182631425558803
712.1212121212121,1.3208633487281627,1.9904250411821796,1.9745284675107642,1.4343603607165887,1.3494744856865761,1.6991753144306236,2.1630658775959044,2.4333271431147914,2.2339820477870678
727.2727272727273,1.3585659912081371,2.0273553542536837,2.011585018581612,1.4860170571583706,1.400229172640671,1.7365118955792882,2.189343692044154,2.4510169017750334,2.284725074258155
742.4242424242425,1.3955561187002583,2.063966006083244,2.048281396350596,1.5369199772452669,1.4503954019013445,1.7735841498413936,2.2155506215461305,2.4687859993087033,2.3348801322678483
757.5757575757575,1.4318613328118157,2.1002662044171077,2.084628347062452,1.5870957452329406,1.4999918000127117,1.8104000399718867,2.2416894294879435,2.486633161357844,2.3844658295683505
772.7272727272727,1.4675076399656521,2.136264713621379,2.1206360887405658,1.63656952710149,1.5490360451143825,1.8469671390812135,2.267762734605077,2.504557159172073,2.43349982655963
787.8787878787879,1.5025195728074425,2.1719698842764323,2.156314346957784,1.6853651375191914,1.597544932790024,1.8832926568801986,2.293773021049277,2.52255680711191,2.4819989020603765
803.030303030303,1.5369203002338476,2.207389680266735,2.191672387546121,1.7335051370549042,1.6455344361714284,1.9193834636902265,2.3197226475811465,2.5406309603342843,2.5299790133415314
818.1818181818182,1.5707317273010435,2.2425317036211383,2.2267190465599347,1.7810109206949674,1.6930197608976698,1.9552461124473197,2.3456138559791,2.5587785126437277,2.5774553510212073
833.3333333333334,1.6039745861132377,2.277403217328521,2.261462757769597,1.8279027985889005,1.7400153954564725,1.990886858901575,2.371448778744435,2.5769983944945416,2.624442389347469
848.4848484848485,1.6366685186534606,2.3120111663275003,2.295911577930242,1.8742000698347814,1.786535157372338,2.0263116801898926,2.3972294461729153,2.5952895711307704,2.670953932332913
863.6363636363636,1.6688321524011396,2.3463621968462434,2.330073210042013,1.919921090017774,1.8325922356518163,2.0615262919395425,2.4229577928550636,2.613651040852175,2.717003156150936
878.7878787878788,1.7004831694792724,2.380462674248655,2.363955024793791,1.9650833331308835,1.8781992298493115,2.096536164042379,2.448635663660334,2.6320818333956124,2.762602648156614
893.939393939394,1.731638369986057,2.414318699525983,2.3975640803610108,2.0097034484338945,1.923368186075864,2.1313465352240346,2.4742648192541203,2.6505810084222725,2.807764442854233
909.0909090909091,1.7623137300897571,2.447936124557806,2.4309071407095924,2.0537973127430256,1.9681106302376925,2.1659624265188797,2.499846941191201,2.669147654102172,2.852500055097906
924.2424242424242,1.7925244553992552,2.481320566253162,2.46399069254162,2.0973800785884418,2.0124375987600667,2.200388653749722,2.5253836366244977,2.68778088578813,2.8968205107805174
939.3939393939395,1.8222850300651554,2.5144774196709494,2.496820961004128,2.140466218628542,2.0563596670246875,2.234629839100751,2.5508764426638786,2.7064798447721907,2.940736375238896
